system:index,NDVI,.geo
31,0.03140555464847901,"{""type"":""Polygon"",""coordinates"":[[[44.833333333333336,15.999999999999975],[45.16666666666668,15.999999999999975],[45.16666666666668,16.26089538347197],[44.833333333333336,16.26089538347197],[44.833333333333336,15.999999999999975]]]}"
32,0.03555607565971745,"{""type"":""Polygon"",""coordinates"":[[[45.16666666666668,15.999999999999975],[45.5,15.999999999999975],[45.5,16.26089538347197],[45.16666666666668,16.26089538347197],[45.16666666666668,15.999999999999975]]]}"
33,0.043506362711822545,"{""type"":""Polygon"",""coordinates"":[[[45.5,15.999999999999975],[45.833333333333336,15.999999999999975],[45.83333333333333,16.26089538347197],[45.5,16.26089538347197],[45.5,15.999999999999975]]]}"
34,0.03276308321886777,"{""type"":""Polygon"",""coordinates"":[[[45.833333333333336,15.999999999999975],[46.166666666666664,15.999999999999975],[46.16666666666667,16.26089538347197],[45.83333333333333,16.26089538347197],[45.833333333333336,15.999999999999975]]]}"
35,0.02883855592388852,"{""type"":""Polygon"",""coordinates"":[[[46.166666666666664,15.999999999999975],[46.49999999999999,15.999999999999975],[46.49999999999999,16.26089538347197],[46.16666666666667,16.26089538347197],[46.166666666666664,15.999999999999975]]]}"
36,0.03210925007313944,"{""type"":""Polygon"",""coordinates"":[[[46.49999999999999,15.999999999999975],[46.833333333333336,15.999999999999975],[46.83333333333334,16.26089538347197],[46.49999999999999,16.26089538347197],[46.49999999999999,15.999999999999975]]]}"
37,0.028521275970500682,"{""type"":""Polygon"",""coordinates"":[[[46.833333333333336,15.999999999999975],[47.166666666666664,15.999999999999975],[47.16666666666667,16.26089538347197],[46.83333333333334,16.26089538347197],[46.833333333333336,15.999999999999975]]]}"
38,0.04542671427750001,"{""type"":""Polygon"",""coordinates"":[[[47.166666666666664,15.999999999999975],[47.5,15.999999999999975],[47.5,16.26089538347197],[47.16666666666667,16.26089538347197],[47.166666666666664,15.999999999999975]]]}"
39,0.07103363097585697,"{""type"":""Polygon"",""coordinates"":[[[47.5,15.999999999999975],[47.833333333333336,15.999999999999975],[47.833333333333336,16.26089538347197],[47.5,16.26089538347197],[47.5,15.999999999999975]]]}"
40,0.07057041058744011,"{""type"":""Polygon"",""coordinates"":[[[47.833333333333336,15.999999999999975],[48.16666666666668,15.999999999999975],[48.16666666666668,16.26089538347197],[47.833333333333336,16.26089538347197],[47.833333333333336,15.999999999999975]]]}"
41,0.07170738113641882,"{""type"":""Polygon"",""coordinates"":[[[48.16666666666668,15.999999999999975],[48.5,15.999999999999975],[48.5,16.26089538347197],[48.16666666666668,16.26089538347197],[48.16666666666668,15.999999999999975]]]}"
42,0.07263358736359765,"{""type"":""Polygon"",""coordinates"":[[[48.5,15.999999999999975],[48.83333333333333,15.999999999999975],[48.83333333333333,16.26089538347197],[48.5,16.26089538347197],[48.5,15.999999999999975]]]}"
43,0.06870021802895208,"{""type"":""Polygon"",""coordinates"":[[[48.83333333333333,15.999999999999975],[49.166666666666664,15.999999999999975],[49.16666666666667,16.26089538347197],[48.83333333333333,16.26089538347197],[48.83333333333333,15.999999999999975]]]}"
44,0.06554641710730838,"{""type"":""Polygon"",""coordinates"":[[[49.166666666666664,15.999999999999975],[49.50000000000001,15.999999999999975],[49.50000000000001,16.26089538347197],[49.16666666666667,16.26089538347197],[49.166666666666664,15.999999999999975]]]}"
45,0.06940056891486716,"{""type"":""Polygon"",""coordinates"":[[[49.50000000000001,15.999999999999975],[49.83333333333333,15.999999999999975],[49.83333333333333,16.26089538347197],[49.50000000000001,16.26089538347197],[49.50000000000001,15.999999999999975]]]}"
46,0.05384519867142648,"{""type"":""Polygon"",""coordinates"":[[[49.83333333333333,15.999999999999975],[50.16666666666667,15.999999999999975],[50.166666666666664,16.26089538347197],[49.83333333333333,16.26089538347197],[49.83333333333333,15.999999999999975]]]}"
47,0.043653804539498,"{""type"":""Polygon"",""coordinates"":[[[50.16666666666667,15.999999999999975],[50.5,15.999999999999975],[50.5,16.26089538347197],[50.166666666666664,16.26089538347197],[50.16666666666667,15.999999999999975]]]}"
48,0.047633769579356604,"{""type"":""Polygon"",""coordinates"":[[[50.5,15.999999999999975],[50.83333333333334,15.999999999999975],[50.83333333333334,16.26089538347197],[50.5,16.26089538347197],[50.5,15.999999999999975]]]}"
49,0.05325585035667948,"{""type"":""Polygon"",""coordinates"":[[[50.83333333333334,15.999999999999975],[51.16666666666668,15.999999999999975],[51.16666666666668,16.26089538347197],[50.83333333333334,16.26089538347197],[50.83333333333334,15.999999999999975]]]}"
50,0.057456032353653,"{""type"":""Polygon"",""coordinates"":[[[51.16666666666668,15.999999999999975],[51.5,15.999999999999975],[51.5,16.26089538347197],[51.16666666666668,16.26089538347197],[51.16666666666668,15.999999999999975]]]}"
51,0.044931182833321995,"{""type"":""Polygon"",""coordinates"":[[[51.5,15.999999999999975],[51.83333333333334,15.999999999999975],[51.83333333333334,16.26089538347197],[51.5,16.26089538347197],[51.5,15.999999999999975]]]}"
52,0.0347566346916605,"{""type"":""Polygon"",""coordinates"":[[[51.83333333333334,15.999999999999975],[52.16666666666667,15.999999999999975],[52.16666666666667,16.26089538347197],[51.83333333333334,16.26089538347197],[51.83333333333334,15.999999999999975]]]}"
53,-0.03351353655254611,"{""type"":""Polygon"",""coordinates"":[[[52.16666666666667,15.999999999999975],[52.5,15.999999999999975],[52.50000000000001,16.26089538347197],[52.16666666666667,16.26089538347197],[52.16666666666667,15.999999999999975]]]}"
54,-0.051715998851208166,"{""type"":""Polygon"",""coordinates"":[[[52.5,15.999999999999975],[52.83333333333334,15.999999999999975],[52.83333333333334,16.26089538347197],[52.50000000000001,16.26089538347197],[52.5,15.999999999999975]]]}"
55,-0.05242454251077541,"{""type"":""Polygon"",""coordinates"":[[[52.83333333333334,15.999999999999975],[53.16666666666667,15.999999999999975],[53.16666666666668,16.26089538347197],[52.83333333333334,16.26089538347197],[52.83333333333334,15.999999999999975]]]}"
56,-0.05249389057337093,"{""type"":""Polygon"",""coordinates"":[[[53.16666666666667,15.999999999999975],[53.5,15.999999999999975],[53.5,16.26089538347197],[53.16666666666668,16.26089538347197],[53.16666666666667,15.999999999999975]]]}"
57,-0.0515289734195338,"{""type"":""Polygon"",""coordinates"":[[[53.5,15.999999999999975],[53.83333333333334,15.999999999999975],[53.83333333333335,16.26089538347197],[53.5,16.26089538347197],[53.5,15.999999999999975]]]}"
58,-0.050718256114845,"{""type"":""Polygon"",""coordinates"":[[[53.83333333333334,15.999999999999975],[54.16666666666667,15.999999999999975],[54.16666666666667,16.26089538347197],[53.83333333333335,16.26089538347197],[53.83333333333334,15.999999999999975]]]}"
59,-0.048281952074104836,"{""type"":""Polygon"",""coordinates"":[[[54.16666666666667,15.999999999999975],[54.500000000000014,15.999999999999975],[54.50000000000001,16.26089538347197],[54.16666666666667,16.26089538347197],[54.16666666666667,15.999999999999975]]]}"
60,-0.04664718091353306,"{""type"":""Polygon"",""coordinates"":[[[54.500000000000014,15.999999999999975],[54.83333333333334,15.999999999999975],[54.83333333333334,16.26089538347197],[54.50000000000001,16.26089538347197],[54.500000000000014,15.999999999999975]]]}"
61,-0.049941761399859716,"{""type"":""Polygon"",""coordinates"":[[[54.83333333333334,15.999999999999975],[55.166666666666664,15.999999999999975],[55.16666666666667,16.26089538347197],[54.83333333333334,16.26089538347197],[54.83333333333334,15.999999999999975]]]}"
62,-0.05351914684732753,"{""type"":""Polygon"",""coordinates"":[[[55.166666666666664,15.999999999999975],[55.50000000000001,15.999999999999975],[55.50000000000001,16.26089538347197],[55.16666666666667,16.26089538347197],[55.166666666666664,15.999999999999975]]]}"
63,0.022164040584763553,"{""type"":""Polygon"",""coordinates"":[[[34.50000000000001,16.26089538347197],[34.833333333333336,16.26089538347197],[34.833333333333336,16.521790766943962],[34.50000000000001,16.521790766943962],[34.50000000000001,16.26089538347197]]]}"
64,0.025698327327536647,"{""type"":""Polygon"",""coordinates"":[[[34.833333333333336,16.26089538347197],[35.16666666666667,16.26089538347197],[35.16666666666667,16.521790766943962],[34.833333333333336,16.521790766943962],[34.833333333333336,16.26089538347197]]]}"
65,0.02718776612364798,"{""type"":""Polygon"",""coordinates"":[[[35.16666666666667,16.26089538347197],[35.50000000000001,16.26089538347197],[35.50000000000001,16.521790766943962],[35.16666666666667,16.521790766943962],[35.16666666666667,16.26089538347197]]]}"
66,0.031005837408218162,"{""type"":""Polygon"",""coordinates"":[[[35.50000000000001,16.26089538347197],[35.83333333333333,16.26089538347197],[35.83333333333333,16.521790766943962],[35.50000000000001,16.521790766943962],[35.50000000000001,16.26089538347197]]]}"
67,0.052230158427876865,"{""type"":""Polygon"",""coordinates"":[[[35.83333333333333,16.26089538347197],[36.166666666666664,16.26089538347197],[36.166666666666664,16.521790766943962],[35.83333333333333,16.521790766943962],[35.83333333333333,16.26089538347197]]]}"
68,0.052578453578720256,"{""type"":""Polygon"",""coordinates"":[[[36.166666666666664,16.26089538347197],[36.5,16.26089538347197],[36.5,16.521790766943962],[36.166666666666664,16.521790766943962],[36.166666666666664,16.26089538347197]]]}"
69,0.04077036422895078,"{""type"":""Polygon"",""coordinates"":[[[36.5,16.26089538347197],[36.83333333333333,16.26089538347197],[36.833333333333336,16.521790766943962],[36.5,16.521790766943962],[36.5,16.26089538347197]]]}"
70,0.03703828305413891,"{""type"":""Polygon"",""coordinates"":[[[36.83333333333333,16.26089538347197],[37.166666666666664,16.26089538347197],[37.16666666666667,16.521790766943962],[36.833333333333336,16.521790766943962],[36.83333333333333,16.26089538347197]]]}"
71,0.035364776453626005,"{""type"":""Polygon"",""coordinates"":[[[37.166666666666664,16.26089538347197],[37.5,16.26089538347197],[37.50000000000001,16.521790766943962],[37.16666666666667,16.521790766943962],[37.166666666666664,16.26089538347197]]]}"
72,0.04213250127175802,"{""type"":""Polygon"",""coordinates"":[[[37.5,16.26089538347197],[37.833333333333336,16.26089538347197],[37.833333333333336,16.521790766943962],[37.50000000000001,16.521790766943962],[37.5,16.26089538347197]]]}"
73,0.0702106115839777,"{""type"":""Polygon"",""coordinates"":[[[37.833333333333336,16.26089538347197],[38.16666666666667,16.26089538347197],[38.16666666666667,16.521790766943962],[37.833333333333336,16.521790766943962],[37.833333333333336,16.26089538347197]]]}"
74,0.09883677044157747,"{""type"":""Polygon"",""coordinates"":[[[38.16666666666667,16.26089538347197],[38.5,16.26089538347197],[38.5,16.521790766943962],[38.16666666666667,16.521790766943962],[38.16666666666667,16.26089538347197]]]}"
75,0.05891290975817901,"{""type"":""Polygon"",""coordinates"":[[[38.5,16.26089538347197],[38.83333333333334,16.26089538347197],[38.83333333333334,16.521790766943962],[38.5,16.521790766943962],[38.5,16.26089538347197]]]}"
76,0.016290457918902424,"{""type"":""Polygon"",""coordinates"":[[[38.83333333333334,16.26089538347197],[39.16666666666668,16.26089538347197],[39.16666666666667,16.521790766943962],[38.83333333333334,16.521790766943962],[38.83333333333334,16.26089538347197]]]}"
77,-0.04415354472162214,"{""type"":""Polygon"",""coordinates"":[[[39.16666666666668,16.26089538347197],[39.50000000000001,16.26089538347197],[39.5,16.521790766943962],[39.16666666666667,16.521790766943962],[39.16666666666668,16.26089538347197]]]}"
78,-0.048032257488340405,"{""type"":""Polygon"",""coordinates"":[[[39.50000000000001,16.26089538347197],[39.833333333333336,16.26089538347197],[39.83333333333334,16.521790766943962],[39.5,16.521790766943962],[39.50000000000001,16.26089538347197]]]}"
79,-0.05337918500363879,"{""type"":""Polygon"",""coordinates"":[[[39.833333333333336,16.26089538347197],[40.16666666666667,16.26089538347197],[40.16666666666667,16.521790766943962],[39.83333333333334,16.521790766943962],[39.833333333333336,16.26089538347197]]]}"
80,-0.05998874429074375,"{""type"":""Polygon"",""coordinates"":[[[40.16666666666667,16.26089538347197],[40.5,16.26089538347197],[40.5,16.521790766943962],[40.16666666666667,16.521790766943962],[40.16666666666667,16.26089538347197]]]}"
81,-0.055456237040608286,"{""type"":""Polygon"",""coordinates"":[[[40.5,16.26089538347197],[40.833333333333336,16.26089538347197],[40.83333333333334,16.521790766943962],[40.5,16.521790766943962],[40.5,16.26089538347197]]]}"
82,-0.05262541552028683,"{""type"":""Polygon"",""coordinates"":[[[40.833333333333336,16.26089538347197],[41.16666666666667,16.26089538347197],[41.16666666666667,16.521790766943962],[40.83333333333334,16.521790766943962],[40.833333333333336,16.26089538347197]]]}"
83,-0.051174127683873014,"{""type"":""Polygon"",""coordinates"":[[[41.16666666666667,16.26089538347197],[41.5,16.26089538347197],[41.5,16.521790766943962],[41.16666666666667,16.521790766943962],[41.16666666666667,16.26089538347197]]]}"
84,-0.05168824767635561,"{""type"":""Polygon"",""coordinates"":[[[41.5,16.26089538347197],[41.833333333333336,16.26089538347197],[41.833333333333336,16.521790766943962],[41.5,16.521790766943962],[41.5,16.26089538347197]]]}"
85,-0.050956308488080936,"{""type"":""Polygon"",""coordinates"":[[[41.833333333333336,16.26089538347197],[42.166666666666664,16.26089538347197],[42.16666666666667,16.521790766943962],[41.833333333333336,16.521790766943962],[41.833333333333336,16.26089538347197]]]}"
86,-0.05329886811070437,"{""type"":""Polygon"",""coordinates"":[[[42.166666666666664,16.26089538347197],[42.5,16.26089538347197],[42.5,16.521790766943962],[42.16666666666667,16.521790766943962],[42.166666666666664,16.26089538347197]]]}"
87,-0.04622910104299734,"{""type"":""Polygon"",""coordinates"":[[[42.5,16.26089538347197],[42.833333333333336,16.26089538347197],[42.833333333333336,16.521790766943962],[42.5,16.521790766943962],[42.5,16.26089538347197]]]}"
88,0.06153678739645381,"{""type"":""Polygon"",""coordinates"":[[[42.833333333333336,16.26089538347197],[43.16666666666667,16.26089538347197],[43.16666666666667,16.521790766943962],[42.833333333333336,16.521790766943962],[42.833333333333336,16.26089538347197]]]}"
89,0.07711134947735314,"{""type"":""Polygon"",""coordinates"":[[[43.16666666666667,16.26089538347197],[43.5,16.26089538347197],[43.5,16.521790766943962],[43.16666666666667,16.521790766943962],[43.16666666666667,16.26089538347197]]]}"
90,0.05801110684357562,"{""type"":""Polygon"",""coordinates"":[[[43.5,16.26089538347197],[43.833333333333336,16.26089538347197],[43.83333333333334,16.521790766943962],[43.5,16.521790766943962],[43.5,16.26089538347197]]]}"
91,0.07442839494242344,"{""type"":""Polygon"",""coordinates"":[[[43.833333333333336,16.26089538347197],[44.16666666666667,16.26089538347197],[44.16666666666667,16.521790766943962],[43.83333333333334,16.521790766943962],[43.833333333333336,16.26089538347197]]]}"
92,0.06665820728821897,"{""type"":""Polygon"",""coordinates"":[[[44.16666666666667,16.26089538347197],[44.5,16.26089538347197],[44.50000000000001,16.521790766943962],[44.16666666666667,16.521790766943962],[44.16666666666667,16.26089538347197]]]}"
93,0.05628340497092214,"{""type"":""Polygon"",""coordinates"":[[[44.5,16.26089538347197],[44.833333333333336,16.26089538347197],[44.83333333333334,16.521790766943962],[44.50000000000001,16.521790766943962],[44.5,16.26089538347197]]]}"
94,0.03663580145974483,"{""type"":""Polygon"",""coordinates"":[[[44.833333333333336,16.26089538347197],[45.16666666666668,16.26089538347197],[45.16666666666668,16.521790766943962],[44.83333333333334,16.521790766943962],[44.833333333333336,16.26089538347197]]]}"
95,0.038062895091230314,"{""type"":""Polygon"",""coordinates"":[[[45.16666666666668,16.26089538347197],[45.5,16.26089538347197],[45.5,16.521790766943962],[45.16666666666668,16.521790766943962],[45.16666666666668,16.26089538347197]]]}"
96,0.0431647711697318,"{""type"":""Polygon"",""coordinates"":[[[45.5,16.26089538347197],[45.83333333333333,16.26089538347197],[45.83333333333333,16.521790766943962],[45.5,16.521790766943962],[45.5,16.26089538347197]]]}"
97,0.035142222919444306,"{""type"":""Polygon"",""coordinates"":[[[45.83333333333333,16.26089538347197],[46.16666666666667,16.26089538347197],[46.166666666666664,16.521790766943962],[45.83333333333333,16.521790766943962],[45.83333333333333,16.26089538347197]]]}"
98,0.03169359797815894,"{""type"":""Polygon"",""coordinates"":[[[46.16666666666667,16.26089538347197],[46.49999999999999,16.26089538347197],[46.49999999999999,16.521790766943962],[46.166666666666664,16.521790766943962],[46.16666666666667,16.26089538347197]]]}"
99,0.03353057293732669,"{""type"":""Polygon"",""coordinates"":[[[46.49999999999999,16.26089538347197],[46.83333333333334,16.26089538347197],[46.833333333333336,16.521790766943962],[46.49999999999999,16.521790766943962],[46.49999999999999,16.26089538347197]]]}"
100,0.029862894615176005,"{""type"":""Polygon"",""coordinates"":[[[46.83333333333334,16.26089538347197],[47.16666666666667,16.26089538347197],[47.16666666666667,16.521790766943962],[46.833333333333336,16.521790766943962],[46.83333333333334,16.26089538347197]]]}"
101,0.035866393988105295,"{""type"":""Polygon"",""coordinates"":[[[47.16666666666667,16.26089538347197],[47.5,16.26089538347197],[47.5,16.521790766943962],[47.16666666666667,16.521790766943962],[47.16666666666667,16.26089538347197]]]}"
102,0.06337859932227123,"{""type"":""Polygon"",""coordinates"":[[[47.5,16.26089538347197],[47.833333333333336,16.26089538347197],[47.833333333333336,16.521790766943962],[47.5,16.521790766943962],[47.5,16.26089538347197]]]}"
103,0.07064029922253809,"{""type"":""Polygon"",""coordinates"":[[[47.833333333333336,16.26089538347197],[48.16666666666668,16.26089538347197],[48.16666666666668,16.521790766943962],[47.833333333333336,16.521790766943962],[47.833333333333336,16.26089538347197]]]}"
104,0.07075055366576093,"{""type"":""Polygon"",""coordinates"":[[[48.16666666666668,16.26089538347197],[48.5,16.26089538347197],[48.5,16.521790766943962],[48.16666666666668,16.521790766943962],[48.16666666666668,16.26089538347197]]]}"
105,0.07251855037651157,"{""type"":""Polygon"",""coordinates"":[[[48.5,16.26089538347197],[48.83333333333333,16.26089538347197],[48.833333333333336,16.521790766943962],[48.5,16.521790766943962],[48.5,16.26089538347197]]]}"
106,0.07060115397965021,"{""type"":""Polygon"",""coordinates"":[[[48.83333333333333,16.26089538347197],[49.16666666666667,16.26089538347197],[49.16666666666667,16.521790766943962],[48.833333333333336,16.521790766943962],[48.83333333333333,16.26089538347197]]]}"
107,0.06449166782896705,"{""type"":""Polygon"",""coordinates"":[[[49.16666666666667,16.26089538347197],[49.50000000000001,16.26089538347197],[49.50000000000001,16.521790766943962],[49.16666666666667,16.521790766943962],[49.16666666666667,16.26089538347197]]]}"
108,0.05778963110971076,"{""type"":""Polygon"",""coordinates"":[[[49.50000000000001,16.26089538347197],[49.83333333333333,16.26089538347197],[49.83333333333333,16.521790766943962],[49.50000000000001,16.521790766943962],[49.50000000000001,16.26089538347197]]]}"
109,0.047970629813379816,"{""type"":""Polygon"",""coordinates"":[[[49.83333333333333,16.26089538347197],[50.166666666666664,16.26089538347197],[50.16666666666667,16.521790766943962],[49.83333333333333,16.521790766943962],[49.83333333333333,16.26089538347197]]]}"
110,0.05248696372362678,"{""type"":""Polygon"",""coordinates"":[[[50.166666666666664,16.26089538347197],[50.5,16.26089538347197],[50.5,16.521790766943962],[50.16666666666667,16.521790766943962],[50.166666666666664,16.26089538347197]]]}"
111,0.04734703503034447,"{""type"":""Polygon"",""coordinates"":[[[50.5,16.26089538347197],[50.83333333333334,16.26089538347197],[50.83333333333334,16.521790766943962],[50.5,16.521790766943962],[50.5,16.26089538347197]]]}"
112,0.04975037246838778,"{""type"":""Polygon"",""coordinates"":[[[50.83333333333334,16.26089538347197],[51.16666666666668,16.26089538347197],[51.16666666666668,16.521790766943962],[50.83333333333334,16.521790766943962],[50.83333333333334,16.26089538347197]]]}"
113,0.057518002159038205,"{""type"":""Polygon"",""coordinates"":[[[51.16666666666668,16.26089538347197],[51.5,16.26089538347197],[51.5,16.521790766943962],[51.16666666666668,16.521790766943962],[51.16666666666668,16.26089538347197]]]}"
114,0.057074451632511645,"{""type"":""Polygon"",""coordinates"":[[[51.5,16.26089538347197],[51.83333333333334,16.26089538347197],[51.83333333333334,16.521790766943962],[51.5,16.521790766943962],[51.5,16.26089538347197]]]}"
115,0.04670689554623616,"{""type"":""Polygon"",""coordinates"":[[[51.83333333333334,16.26089538347197],[52.16666666666667,16.26089538347197],[52.16666666666667,16.521790766943962],[51.83333333333334,16.521790766943962],[51.83333333333334,16.26089538347197]]]}"
116,0.017354435503464175,"{""type"":""Polygon"",""coordinates"":[[[52.16666666666667,16.26089538347197],[52.50000000000001,16.26089538347197],[52.5,16.521790766943962],[52.16666666666667,16.521790766943962],[52.16666666666667,16.26089538347197]]]}"
